# Version 1.00
#
# (2.92) P1 SRC, P2 STD, B21 40, B31 0, B501 On, B32 0, B302 Off, 271 pts, 3th, 2 GHz, 10 ms, 25 ms, 0.5 ms, 0.1 ms, Ext Att P1 6 P2 6, LN
# 
freq[Hz],Trc3_S11[dB],
4.600000000000000E+08,-3.379104659435193E-02,
4.602500000000000E+08,-3.383005102933451E-02,
4.605000000000000E+08,-3.360210945505108E-02,
4.607500000000000E+08,-3.360366112088347E-02,
4.610000000000000E+08,-3.329439627767667E-02,
4.612500000000000E+08,-3.338078793144149E-02,
4.615000000000000E+08,-3.325453637169142E-02,
4.617500000000000E+08,-3.322976503733258E-02,
4.620000000000000E+08,-3.323764277363585E-02,
4.622500000000000E+08,-3.292898142094305E-02,
4.625000000000000E+08,-3.279434228030411E-02,
4.627500000000000E+08,-3.300081471698031E-02,
4.630000000000000E+08,-3.286788379476074E-02,
4.632500000000000E+08,-3.243554338205738E-02,
4.635000000000000E+08,-3.242776277328723E-02,
4.637500000000000E+08,-3.228077891133061E-02,
4.640000000000000E+08,-3.212373200255942E-02,
4.642500000000000E+08,-3.213376633991346E-02,
4.645000000000000E+08,-3.185818201578894E-02,
4.647500000000000E+08,-3.197023221178343E-02,
4.650000000000000E+08,-3.172360570649130E-02,
4.652500000000000E+08,-3.141568852704164E-02,
4.655000000000000E+08,-3.136494368676041E-02,
4.657500000000000E+08,-3.117730337109510E-02,
4.660000000000000E+08,-3.124758697054270E-02,
4.662500000000000E+08,-3.091950925699441E-02,
4.665000000000000E+08,-3.057660288459958E-02,
4.667500000000000E+08,-3.125897045187553E-02,
4.670000000000000E+08,-3.060344676262058E-02,
4.672500000000000E+08,-3.045919717491544E-02,
4.675000000000000E+08,-3.049419244556106E-02,
4.677500000000000E+08,-3.029476992274931E-02,
4.680000000000000E+08,-3.016350495656756E-02,
4.682500000000000E+08,-2.996797296264841E-02,
4.685000000000000E+08,-2.966297684425344E-02,
4.687500000000000E+08,-2.932146933257583E-02,
4.690000000000000E+08,-2.921260944273477E-02,
4.692500000000000E+08,-2.915194056901351E-02,
4.695000000000000E+08,-2.910843644575412E-02,
4.697500000000000E+08,-2.886948658630852E-02,
4.700000000000000E+08,-2.891540929566670E-02,
4.702500000000000E+08,-2.858426547388607E-02,
4.705000000000000E+08,-2.810561768296935E-02,
4.707500000000000E+08,-2.828803464054945E-02,
4.710000000000000E+08,-2.806590599621882E-02,
4.712500000000000E+08,-2.798488532010932E-02,
4.715000000000000E+08,-2.762751366837342E-02,
4.717500000000000E+08,-2.743871014227736E-02,
4.720000000000000E+08,-2.724951103918634E-02,
4.722500000000000E+08,-2.701391980367296E-02,
4.725000000000000E+08,-2.691910083781335E-02,
4.727500000000000E+08,-2.688273720134688E-02,
4.730000000000000E+08,-2.656674940862565E-02,
