# Version 1.00
#
# (2.92) P1 SRC, P2 STD, B21 40, B31 0, B501 On, B32 0, B302 Off, 271 pts, 3th, 2 GHz, 10 ms, 25 ms, 0.5 ms, 0.1 ms, Ext Att P1 6 P2 6, LN
# 
freq[Hz],Trc2_S21[s],
4.627500000000000E+08,-1.360617284355985E-07,
4.630000000000000E+08,-3.254488692745817E-07,
4.632500000000000E+08,-4.407982132717597E-07,
4.635000000000000E+08,-5.598710467318694E-07,
4.637500000000000E+08,-5.183774882567236E-07,
4.640000000000000E+08,-4.344539936837121E-07,
4.642500000000000E+08,-3.609826870355935E-07,
4.645000000000000E+08,-3.550582437943892E-07,
4.647500000000000E+08,-3.062711587958912E-07,
4.650000000000000E+08,-2.227632095854788E-07,
4.652500000000000E+08,-2.818272498689431E-07,
4.655000000000000E+08,-2.997792206344389E-07,
4.657500000000000E+08,-4.283268867778925E-07,
4.660000000000000E+08,-5.040573945187223E-07,
4.662500000000000E+08,-5.259170201412370E-07,
4.665000000000000E+08,-4.082886526866318E-07,
4.667500000000000E+08,-4.072548429674644E-07,
4.670000000000000E+08,-3.195272898581025E-07,
4.672500000000000E+08,-2.533811525790913E-07,
4.675000000000000E+08,-1.694128359587082E-07,
4.677500000000000E+08,-9.716593713466283E-08,
4.680000000000000E+08,-1.231561837792969E-07,
4.682500000000000E+08,-7.157587942619929E-08,
4.685000000000000E+08,-1.136798915407986E-07,
4.687500000000000E+08,-1.656095372928534E-07,
4.690000000000000E+08,-1.183796610629735E-07,
4.692500000000000E+08,-1.626753259285053E-08,
4.695000000000000E+08,-4.563298812598642E-08,
4.697500000000000E+08,3.852542191416960E-08,
4.700000000000000E+08,5.248819356474905E-08,
4.702500000000000E+08,5.230601084275269E-08,
4.705000000000000E+08,1.079776348760061E-07,
4.707500000000000E+08,7.438432745690876E-08,
4.710000000000000E+08,3.317892410314078E-08,
4.712500000000000E+08,-6.767699960691825E-08,
4.715000000000000E+08,-1.369321622049597E-07,
4.717500000000000E+08,-1.111285784701408E-07,
4.720000000000000E+08,-6.094588615579623E-08,
4.722500000000000E+08,-7.618807982831440E-08,
4.725000000000000E+08,-3.565239365303425E-08,
4.727500000000000E+08,-5.637605721300530E-09,
4.730000000000000E+08,1.279189092240767E-08,
4.732500000000000E+08,6.468937008965029E-08,
4.735000000000000E+08,8.593762142666904E-08,
4.737500000000000E+08,7.861312093615361E-08,
4.740000000000000E+08,2.436770992276278E-08,
4.742500000000000E+08,2.418491597570026E-08,
4.745000000000000E+08,4.418740143130524E-09,
4.747500000000000E+08,7.605959845401506E-09,
4.750000000000000E+08,-4.697630996281171E-08,
4.752500000000000E+08,-6.487623405490252E-08,
4.755000000000000E+08,-4.410776601651279E-08,
4.757500000000000E+08,-2.956040164608165E-08,
4.760000000000000E+08,-1.546004942402541E-08,
4.762500000000000E+08,2.320987320653043E-08,
4.765000000000000E+08,4.688137260189788E-08,
4.767500000000000E+08,6.245822687836908E-08,
4.770000000000000E+08,7.484016033360954E-08,
4.772500000000000E+08,6.117512247368071E-08,
4.775000000000000E+08,8.089851432617186E-08,
4.777500000000000E+08,1.143326225256785E-08,
4.780000000000000E+08,-1.143888216412169E-08,
4.782500000000000E+08,-2.671089584568005E-08,
4.785000000000000E+08,-3.814628643337673E-08,
4.787500000000000E+08,-2.330714252688963E-08,
4.790000000000000E+08,-2.214009007822364E-08,
4.792500000000000E+08,3.269261284965693E-09,
4.795000000000000E+08,-5.996107485104955E-09,
4.797500000000000E+08,-4.685828298170936E-09,
4.800000000000000E+08,1.491477559215199E-08,
4.802500000000000E+08,3.817281956911098E-08,
4.805000000000000E+08,2.228562211034417E-08,
4.807500000000000E+08,2.327153657054623E-08,
4.810000000000000E+08,1.281977241592473E-08,
4.812500000000000E+08,1.766456803753712E-08,
4.815000000000000E+08,1.457679269038087E-08,
4.817500000000000E+08,-1.570324461399696E-08,
4.820000000000000E+08,1.379021405109802E-08,
4.822500000000000E+08,4.234951937065704E-09,
4.825000000000000E+08,3.882120135824150E-09,
4.827500000000000E+08,2.559577215606496E-09,
4.830000000000000E+08,1.201673946516654E-08,
4.832500000000000E+08,1.447328978958797E-09,
4.835000000000000E+08,8.947101294858233E-10,
4.837500000000000E+08,-1.774200636150516E-08,
4.840000000000000E+08,-1.880573339983801E-08,
4.842500000000000E+08,-1.493637373680916E-08,
4.845000000000000E+08,-1.465037829960352E-08,
4.847500000000000E+08,-6.196807904896468E-09,
4.850000000000000E+08,3.242895493948105E-09,
4.852500000000000E+08,-1.616872607147717E-09,
4.855000000000000E+08,-6.051472588834508E-09,
4.857500000000000E+08,7.678735983644772E-09,
4.860000000000000E+08,-2.238971945203043E-10,
4.862500000000000E+08,1.415596291939782E-08,
4.865000000000000E+08,7.785854495923900E-09,
4.867500000000000E+08,6.374759269828438E-09,
4.870000000000000E+08,5.659570004959046E-09,
4.872500000000000E+08,1.472878258957937E-08,
4.875000000000000E+08,1.580660636471488E-08,
4.877500000000000E+08,1.296386129209945E-08,
4.880000000000000E+08,3.738830935805588E-09,
4.882500000000000E+08,-1.972333237007681E-09,
4.885000000000000E+08,2.041460004788239E-09,
4.887500000000000E+08,-6.773499588178050E-10,
4.890000000000000E+08,3.192784687244562E-09,
4.892500000000000E+08,2.811621761967596E-09,
4.895000000000000E+08,8.510367344087862E-09,
4.897500000000000E+08,5.391030777015280E-09,
4.900000000000000E+08,7.555426931788999E-09,
4.902500000000000E+08,6.579285297108506E-09,
4.905000000000000E+08,2.919454443280867E-09,
4.907500000000000E+08,-2.451782777171227E-10,
4.910000000000000E+08,-9.329765791414509E-10,
4.912500000000000E+08,3.836367483417807E-09,
4.915000000000000E+08,5.046750250336388E-09,
4.917500000000000E+08,3.757380163138881E-09,
4.920000000000000E+08,1.851234330354091E-09,
4.922500000000000E+08,5.945789517488254E-09,
